Quarter,BEV_Sales
2024Q4,111835
2024Q3,102657
2024Q2,82773
2024Q1,84327
2023Q4,75813
2023Q3,85523
2023Q2,76686
2023Q1,76127
2022Q4,91430
2022Q3,60335
2022Q2,50946
2022Q1,64164
2021Q4,65529
2021Q3,51116
2021Q2,42060
2021Q1,31715
2020Q4,41261
2020Q3,35630
2020Q2,12731
2020Q1,18291
2019Q4,12764
2019Q3,12859
2019Q2,6328
2019Q1,6056
2018Q4,4221
2018Q3,3847
2018Q2,3556
2018Q1,4132
2017Q4,2566
2017Q3,3500
2017Q2,3136
2017Q1,4711
2016Q4,2200
2016Q3,2881
2016Q2,2138
2016Q1,3210
2015Q4,3012
2015Q3,2303
2015Q2,2083
2015Q1,2693
2014Q4,2228
2014Q3,1980
