Country,Year,BEV
France,2008,0
France,2009,10
France,2010,134
France,2011,2630
France,2012,5663
France,2013,8583
France,2014,11139
France,2015,17741
France,2016,23011
France,2017,26509
France,2018,32209
France,2019,42933
France,2020,110909
France,2021,162105
France,2022,202868
France,2023,296902
France,2024,290748
France,2025,74521
Germany,2008,0
Germany,2009,15
Germany,2010,144
Germany,2011,1828
Germany,2012,2555
Germany,2013,5434
Germany,2014,9141
Germany,2015,13369
Germany,2016,12415
Germany,2017,25764
Germany,2018,36533
Germany,2019,61415
Germany,2020,191330
Germany,2021,351332
Germany,2022,464322
Germany,2023,520074
Germany,2024,379472
Germany,2025,158479
Sweden,2008,0
Sweden,2009,18
Sweden,2010,56
Sweden,2011,183
Sweden,2012,267
Sweden,2013,453
Sweden,2014,1370
Sweden,2015,3103
Sweden,2016,3219
Sweden,2017,4403
Sweden,2018,7263
Sweden,2019,15594
Sweden,2020,27897
Sweden,2021,57454
Sweden,2022,94603
Sweden,2023,111338
Sweden,2024,94333
Sweden,2025,29503
