Quarter,ICE_Sales
2024Q4,162279
2024Q3,212755
2024Q2,212629
2024Q1,273414
2023Q4,228087
2023Q3,258734
2023Q2,254490
2023Q1,286422
2022Q4,215796
2022Q3,242879
2022Q2,242320
2022Q1,251946
2021Q4,198573
2021Q3,255844
2021Q2,339820
2021Q1,314539
2020Q4,279617
2020Q3,473534
2020Q2,138424
2020Q1,421538
2019Q4,407776
2019Q3,548803
2019Q2,538391
2019Q1,667276
2018Q4,432527
2018Q3,561822
2018Q2,563914
2018Q1,687375
2017Q4,454098
2017Q3,635169
2017Q2,560840
2017Q1,792791
2016Q4,529430
2016Q3,714119
2016Q2,634974
2016Q1,754573
2015Q4,528042
2015Q3,709025
2015Q2,630381
2015Q1,719615
2014Q4,510710
2014Q3,664843
