Quarter,ICE_Sales,Petrol_Price_ppl,Diesel_Price_ppl
2024Q4,162279,136.49,142.98
2024Q3,212755,134.17,138.85
2024Q2,212629,144.43,150.12
2024Q1,273414,145.06,153.9
2023Q4,228087,140.33,149.24
2023Q3,258734,155.41,160.61
2023Q2,254490,143.43,145.65
2023Q1,286422,146.21,165.18
2022Q4,215796,151.94,175.52
2022Q3,242879,164,180.46
2022Q2,242320,190.93,198.93
2022Q1,251946,162.65,176.44
2021Q4,198573,144.92,148.82
2021Q3,255844,135.19,137.95
2021Q2,339820,130.73,134.27
2021Q1,314539,125.13,129.32
2020Q4,279617,114.91,119.65
2020Q3,473534,113.3,118.14
2020Q2,138424,108.31,114.1
2020Q1,421538,112.45,118.6
2019Q4,407776,124.96,130.54
2019Q3,548803,126.92,131.83
2019Q2,538391,126.66,131.81
2019Q1,667276,120.83,131.15
2018Q4,432527,120.18,130.26
2018Q3,561822,130.59,134.77
2018Q2,563914,127.18,131.27
2018Q1,687375,119.23,122.9
