Quarter,BEV_Sales
2024Q4,7971
2024Q3,5284
2024Q2,3594
2024Q1,5612
2023Q4,6178
2023Q3,6076
2023Q2,4663
2023Q1,4897
2022Q4,5954
2022Q3,3835
2022Q2,4104
2022Q1,4450
2021Q4,5435
2021Q3,2449
2021Q2,2597
2021Q1,2632
2020Q4,2152
2020Q3,1588
2020Q2,618
2020Q1,1351
2019Q4,1236
2019Q3,851
2019Q2,725
2019Q1,686
2018Q4,403
2018Q3,384
2018Q2,300
2018Q1,445
2017Q4,314
2017Q3,375
2017Q2,274
2017Q1,335
2016Q4,219
2016Q3,298
2016Q2,283
2016Q1,267
2015Q4,217
2015Q3,269
2015Q2,288
2015Q1,222
2014Q4,245
2014Q3,204
