Quarter,Metric,Value
2024Q4,ICE Sales,162279
2024Q3,ICE Sales,212755
2024Q2,ICE Sales,212629
2024Q1,ICE Sales,273414
2023Q4,ICE Sales,228087
2023Q3,ICE Sales,258734
2023Q2,ICE Sales,254490
2023Q1,ICE Sales,286422
2022Q4,ICE Sales,215796
2022Q3,ICE Sales,242879
2022Q2,ICE Sales,242320
2022Q1,ICE Sales,251946
2021Q4,ICE Sales,198573
2021Q3,ICE Sales,255844
2021Q2,ICE Sales,339820
2021Q1,ICE Sales,314539
2020Q4,ICE Sales,279617
2020Q3,ICE Sales,473534
2020Q2,ICE Sales,138424
2020Q1,ICE Sales,421538
2019Q4,ICE Sales,407776
2019Q3,ICE Sales,548803
2019Q2,ICE Sales,538391
2019Q1,ICE Sales,667276
2018Q4,ICE Sales,432527
2018Q3,ICE Sales,561822
2018Q2,ICE Sales,563914
2018Q1,ICE Sales,687375
2017Q4,ICE Sales,454098
2017Q3,ICE Sales,635169
2017Q2,ICE Sales,560840
2017Q1,ICE Sales,792791
2016Q4,ICE Sales,529430
2016Q3,ICE Sales,714119
2016Q2,ICE Sales,634974
2016Q1,ICE Sales,754573
2015Q4,ICE Sales,528042
2015Q3,ICE Sales,709025
2015Q2,ICE Sales,630381
2015Q1,ICE Sales,719615
2014Q4,ICE Sales,510710
2014Q3,ICE Sales,664843
2024Q4,BEV Car Sales,111835
2024Q3,BEV Car Sales,102657
2024Q2,BEV Car Sales,82773
2024Q1,BEV Car Sales,84327
2023Q4,BEV Car Sales,75813
2023Q3,BEV Car Sales,85523
2023Q2,BEV Car Sales,76686
2023Q1,BEV Car Sales,76127
2022Q4,BEV Car Sales,91430
2022Q3,BEV Car Sales,60335
2022Q2,BEV Car Sales,50946
2022Q1,BEV Car Sales,64164
2021Q4,BEV Car Sales,65529
2021Q3,BEV Car Sales,51116
2021Q2,BEV Car Sales,42060
2021Q1,BEV Car Sales,31715
2020Q4,BEV Car Sales,41261
2020Q3,BEV Car Sales,35630
2020Q2,BEV Car Sales,12731
2020Q1,BEV Car Sales,18291
2019Q4,BEV Car Sales,12764
2019Q3,BEV Car Sales,12859
2019Q2,BEV Car Sales,6328
2019Q1,BEV Car Sales,6056
2018Q4,BEV Car Sales,4221
2018Q3,BEV Car Sales,3847
2018Q2,BEV Car Sales,3556
2018Q1,BEV Car Sales,4132
2017Q4,BEV Car Sales,2566
2017Q3,BEV Car Sales,3500
2017Q2,BEV Car Sales,3136
2017Q1,BEV Car Sales,4711
2016Q4,BEV Car Sales,2200
2016Q3,BEV Car Sales,2881
2016Q2,BEV Car Sales,2138
2016Q1,BEV Car Sales,3210
2015Q4,BEV Car Sales,3012
2015Q3,BEV Car Sales,2303
2015Q2,BEV Car Sales,2083
2015Q1,BEV Car Sales,2693
2014Q4,BEV Car Sales,2228
2014Q3,BEV Car Sales,1980
2024Q4,BEV Van Sales,7971
2024Q3,BEV Van Sales,5284
2024Q2,BEV Van Sales,3594
2024Q1,BEV Van Sales,5612
2023Q4,BEV Van Sales,6178
2023Q3,BEV Van Sales,6076
2023Q2,BEV Van Sales,4663
2023Q1,BEV Van Sales,4897
2022Q4,BEV Van Sales,5954
2022Q3,BEV Van Sales,3835
2022Q2,BEV Van Sales,4104
2022Q1,BEV Van Sales,4450
2021Q4,BEV Van Sales,5435
2021Q3,BEV Van Sales,2449
2021Q2,BEV Van Sales,2597
2021Q1,BEV Van Sales,2632
2020Q4,BEV Van Sales,2152
2020Q3,BEV Van Sales,1588
2020Q2,BEV Van Sales,618
2020Q1,BEV Van Sales,1351
2019Q4,BEV Van Sales,1236
2019Q3,BEV Van Sales,851
2019Q2,BEV Van Sales,725
2019Q1,BEV Van Sales,686
2018Q4,BEV Van Sales,403
2018Q3,BEV Van Sales,384
2018Q2,BEV Van Sales,300
2018Q1,BEV Van Sales,445
2017Q4,BEV Van Sales,314
2017Q3,BEV Van Sales,375
2017Q2,BEV Van Sales,274
2017Q1,BEV Van Sales,335
2016Q4,BEV Van Sales,219
2016Q3,BEV Van Sales,298
2016Q2,BEV Van Sales,283
2016Q1,BEV Van Sales,267
2015Q4,BEV Van Sales,217
2015Q3,BEV Van Sales,269
2015Q2,BEV Van Sales,288
2015Q1,BEV Van Sales,222
2014Q4,BEV Van Sales,245
2014Q3,BEV Van Sales,204
