ds,Value,Quarter,Metric,Scenario
01-01-2025,108093.8811,2025Q1,BEV Cars,Battery Price Driven
01-04-2025,105068.4921,2025Q2,BEV Cars,Battery Price Driven
01-07-2025,113126.0028,2025Q3,BEV Cars,Battery Price Driven
01-10-2025,120724.1149,2025Q4,BEV Cars,Battery Price Driven
01-01-2026,117643.6846,2026Q1,BEV Cars,Battery Price Driven
01-04-2026,116413.4745,2026Q2,BEV Cars,Battery Price Driven
01-07-2026,121587.5192,2026Q3,BEV Cars,Battery Price Driven
01-10-2026,127407.0843,2026Q4,BEV Cars,Battery Price Driven
31-12-2026,233578.7222,2026Q4,BEV Cars,Battery Price Driven
31-03-2027,214298.6401,2027Q1,BEV Cars,Battery Price Driven
30-06-2027,235200.0189,2027Q2,BEV Cars,Battery Price Driven
30-09-2027,189524.8335,2027Q3,BEV Cars,Battery Price Driven
31-12-2027,255088.3057,2027Q4,BEV Cars,Battery Price Driven
31-03-2028,246541.0286,2028Q1,BEV Cars,Battery Price Driven
30-06-2028,251985.1228,2028Q2,BEV Cars,Battery Price Driven
30-09-2028,245696.1662,2028Q3,BEV Cars,Battery Price Driven
31-12-2028,268917.9513,2028Q4,BEV Cars,Battery Price Driven
31-03-2029,262231.159,2029Q1,BEV Cars,Battery Price Driven
30-06-2029,270827.6227,2029Q2,BEV Cars,Battery Price Driven
30-09-2029,254223.9424,2029Q3,BEV Cars,Battery Price Driven
31-12-2029,288968.3123,2029Q4,BEV Cars,Battery Price Driven
31-03-2030,276871.8989,2030Q1,BEV Cars,Battery Price Driven
30-06-2030,290624.4939,2030Q2,BEV Cars,Battery Price Driven
30-09-2030,260885.0101,2030Q3,BEV Cars,Battery Price Driven
31-12-2030,309752.1122,2030Q4,BEV Cars,Battery Price Driven
31-03-2031,290472.0301,2031Q1,BEV Cars,Battery Price Driven
30-06-2031,311373.409,2031Q2,BEV Cars,Battery Price Driven
30-09-2031,265698.2235,2031Q3,BEV Cars,Battery Price Driven
31-12-2031,331261.6957,2031Q4,BEV Cars,Battery Price Driven
31-03-2032,322714.4186,2032Q1,BEV Cars,Battery Price Driven
30-06-2032,328158.5128,2032Q2,BEV Cars,Battery Price Driven
30-09-2032,321869.5562,2032Q3,BEV Cars,Battery Price Driven
31-12-2032,345091.3413,2032Q4,BEV Cars,Battery Price Driven
31-03-2033,338404.549,2033Q1,BEV Cars,Battery Price Driven
30-06-2033,347001.0128,2033Q2,BEV Cars,Battery Price Driven
30-09-2033,330397.3324,2033Q3,BEV Cars,Battery Price Driven
31-12-2033,365141.7023,2033Q4,BEV Cars,Battery Price Driven
31-03-2034,353045.2889,2034Q1,BEV Cars,Battery Price Driven
30-06-2034,366797.8839,2034Q2,BEV Cars,Battery Price Driven
30-09-2034,337058.4001,2034Q3,BEV Cars,Battery Price Driven
31-12-2034,385925.5022,2034Q4,BEV Cars,Battery Price Driven
31-03-2035,366645.4201,2035Q1,BEV Cars,Battery Price Driven
30-06-2035,387546.799,2035Q2,BEV Cars,Battery Price Driven
30-09-2035,341871.6135,2035Q3,BEV Cars,Battery Price Driven
31-12-2035,407435.0857,2035Q4,BEV Cars,Battery Price Driven
31-03-2036,398887.8087,2036Q1,BEV Cars,Battery Price Driven
30-06-2036,404331.9028,2036Q2,BEV Cars,Battery Price Driven
30-09-2036,398042.9462,2036Q3,BEV Cars,Battery Price Driven
31-12-2036,421264.7313,2036Q4,BEV Cars,Battery Price Driven
31-03-2037,414577.939,2037Q1,BEV Cars,Battery Price Driven
30-06-2037,423174.4028,2037Q2,BEV Cars,Battery Price Driven
30-09-2037,406570.7224,2037Q3,BEV Cars,Battery Price Driven
31-12-2037,441315.0923,2037Q4,BEV Cars,Battery Price Driven
31-03-2038,429218.6789,2038Q1,BEV Cars,Battery Price Driven
30-06-2038,442971.2739,2038Q2,BEV Cars,Battery Price Driven
30-09-2038,413231.7901,2038Q3,BEV Cars,Battery Price Driven
31-12-2038,462098.8922,2038Q4,BEV Cars,Battery Price Driven
31-03-2039,442818.8101,2039Q1,BEV Cars,Battery Price Driven
30-06-2039,463720.189,2039Q2,BEV Cars,Battery Price Driven
30-09-2039,418045.0035,2039Q3,BEV Cars,Battery Price Driven
31-12-2039,483608.4757,2039Q4,BEV Cars,Battery Price Driven
31-03-2040,475061.1987,2040Q1,BEV Cars,Battery Price Driven
30-06-2040,480505.2929,2040Q2,BEV Cars,Battery Price Driven
30-09-2040,474216.3362,2040Q3,BEV Cars,Battery Price Driven
31-12-2040,497438.1213,2040Q4,BEV Cars,Battery Price Driven
31-03-2041,490751.329,2041Q1,BEV Cars,Battery Price Driven
30-06-2041,499347.7928,2041Q2,BEV Cars,Battery Price Driven
30-09-2041,482744.1124,2041Q3,BEV Cars,Battery Price Driven
31-12-2041,517488.4823,2041Q4,BEV Cars,Battery Price Driven
31-03-2042,505392.0689,2042Q1,BEV Cars,Battery Price Driven
30-06-2042,519144.6639,2042Q2,BEV Cars,Battery Price Driven
30-09-2042,489405.1801,2042Q3,BEV Cars,Battery Price Driven
