ds,Value,Quarter,Metric,Scenario
31-12-2024,90351.3653,2024Q4,BEV Cars,ChargerDriven
31-03-2025,103130.2736,2025Q1,BEV Cars,ChargerDriven
30-06-2025,123538.0847,2025Q2,BEV Cars,ChargerDriven
30-09-2025,104734.2442,2025Q3,BEV Cars,ChargerDriven
31-12-2025,134308.8334,2025Q4,BEV Cars,ChargerDriven
31-03-2026,148585.3913,2026Q1,BEV Cars,ChargerDriven
30-06-2026,174970.4285,2026Q2,BEV Cars,ChargerDriven
30-09-2026,134524.6577,2026Q3,BEV Cars,ChargerDriven
31-12-2026,179537.4946,2026Q4,BEV Cars,ChargerDriven
31-03-2027,193404.4601,2027Q1,BEV Cars,ChargerDriven
30-06-2027,228439.7355,2027Q2,BEV Cars,ChargerDriven
30-09-2027,162074.0808,2027Q3,BEV Cars,ChargerDriven
31-12-2027,226029.0184,2027Q4,BEV Cars,ChargerDriven
31-03-2028,250777.0613,2028Q1,BEV Cars,ChargerDriven
30-06-2028,267886.842,2028Q2,BEV Cars,ChargerDriven
30-09-2028,266415.5996,2028Q3,BEV Cars,ChargerDriven
31-12-2028,284093.3054,2028Q4,BEV Cars,ChargerDriven
31-03-2029,296872.2137,2029Q1,BEV Cars,ChargerDriven
30-06-2029,317280.0248,2029Q2,BEV Cars,ChargerDriven
30-09-2029,298476.1843,2029Q3,BEV Cars,ChargerDriven
31-12-2029,328050.7735,2029Q4,BEV Cars,ChargerDriven
31-03-2030,342327.3314,2030Q1,BEV Cars,ChargerDriven
30-06-2030,368712.3686,2030Q2,BEV Cars,ChargerDriven
30-09-2030,328266.5978,2030Q3,BEV Cars,ChargerDriven
31-12-2030,373279.4347,2030Q4,BEV Cars,ChargerDriven
31-03-2031,387146.4002,2031Q1,BEV Cars,ChargerDriven
30-06-2031,422181.6756,2031Q2,BEV Cars,ChargerDriven
30-09-2031,355816.0209,2031Q3,BEV Cars,ChargerDriven
31-12-2031,419770.9585,2031Q4,BEV Cars,ChargerDriven
31-03-2032,444519.0014,2032Q1,BEV Cars,ChargerDriven
30-06-2032,461628.7821,2032Q2,BEV Cars,ChargerDriven
30-09-2032,460157.5397,2032Q3,BEV Cars,ChargerDriven
31-12-2032,477835.2455,2032Q4,BEV Cars,ChargerDriven
31-03-2033,490614.1538,2033Q1,BEV Cars,ChargerDriven
30-06-2033,511021.9649,2033Q2,BEV Cars,ChargerDriven
30-09-2033,492218.1244,2033Q3,BEV Cars,ChargerDriven
31-12-2033,521792.7136,2033Q4,BEV Cars,ChargerDriven
31-03-2034,536069.2715,2034Q1,BEV Cars,ChargerDriven
30-06-2034,562454.3087,2034Q2,BEV Cars,ChargerDriven
30-09-2034,522008.5379,2034Q3,BEV Cars,ChargerDriven
31-12-2034,567021.3748,2034Q4,BEV Cars,ChargerDriven
31-03-2035,580888.3403,2035Q1,BEV Cars,ChargerDriven
30-06-2035,615923.6157,2035Q2,BEV Cars,ChargerDriven
30-09-2035,549557.961,2035Q3,BEV Cars,ChargerDriven
31-12-2035,613512.8986,2035Q4,BEV Cars,ChargerDriven
31-03-2036,638260.9415,2036Q1,BEV Cars,ChargerDriven
30-06-2036,655370.7222,2036Q2,BEV Cars,ChargerDriven
30-09-2036,653899.4798,2036Q3,BEV Cars,ChargerDriven
31-12-2036,671577.1856,2036Q4,BEV Cars,ChargerDriven
31-03-2037,684356.0939,2037Q1,BEV Cars,ChargerDriven
30-06-2037,704763.905,2037Q2,BEV Cars,ChargerDriven
30-09-2037,685960.0645,2037Q3,BEV Cars,ChargerDriven
31-12-2037,715534.6537,2037Q4,BEV Cars,ChargerDriven
31-03-2038,729811.2116,2038Q1,BEV Cars,ChargerDriven
30-06-2038,756196.2488,2038Q2,BEV Cars,ChargerDriven
30-09-2038,715750.478,2038Q3,BEV Cars,ChargerDriven
31-12-2038,760763.3149,2038Q4,BEV Cars,ChargerDriven
31-03-2039,774630.2804,2039Q1,BEV Cars,ChargerDriven
30-06-2039,809665.5558,2039Q2,BEV Cars,ChargerDriven
30-09-2039,743299.9011,2039Q3,BEV Cars,ChargerDriven
31-12-2039,807254.8387,2039Q4,BEV Cars,ChargerDriven
31-03-2040,832002.8816,2040Q1,BEV Cars,ChargerDriven
30-06-2040,849112.6623,2040Q2,BEV Cars,ChargerDriven
30-09-2040,847641.4199,2040Q3,BEV Cars,ChargerDriven
31-12-2040,865319.1257,2040Q4,BEV Cars,ChargerDriven
31-03-2041,878098.034,2041Q1,BEV Cars,ChargerDriven
30-06-2041,898505.8451,2041Q2,BEV Cars,ChargerDriven
30-09-2041,879702.0046,2041Q3,BEV Cars,ChargerDriven
