ds,Value,Quarter,Metric,Scenario
31-12-2024,103279.5556,2024Q4,BEV Cars,Policy2021
31-03-2025,107403.7425,2025Q1,BEV Cars,Policy2021
30-06-2025,118274.5779,2025Q2,BEV Cars,Policy2021
30-09-2025,99767.6952,2025Q3,BEV Cars,Policy2021
31-12-2025,116652.6613,2025Q4,BEV Cars,Policy2021
31-03-2026,121657.5082,2026Q1,BEV Cars,Policy2021
30-06-2026,138102.4307,2026Q2,BEV Cars,Policy2021
30-09-2026,104375.9619,2026Q3,BEV Cars,Policy2021
31-12-2026,129462.0771,2026Q4,BEV Cars,Policy2021
31-03-2027,135242.5529,2027Q1,BEV Cars,Policy2021
30-06-2027,159354.7575,2027Q2,BEV Cars,Policy2021
30-09-2027,107099.3729,2027Q3,BEV Cars,Policy2021
31-12-2027,141704.3272,2027Q4,BEV Cars,Policy2021
31-03-2028,153379.9697,2028Q1,BEV Cars,Policy2021
30-06-2028,160761.111,2028Q2,BEV Cars,Policy2021
30-09-2028,154138.1848,2028Q3,BEV Cars,Policy2021
31-12-2028,164168.86,2028Q4,BEV Cars,Policy2021
31-03-2029,168293.0469,2029Q1,BEV Cars,Policy2021
30-06-2029,179163.8824,2029Q2,BEV Cars,Policy2021
30-09-2029,160656.9996,2029Q3,BEV Cars,Policy2021
31-12-2029,177541.9657,2029Q4,BEV Cars,Policy2021
31-03-2030,182546.8126,2030Q1,BEV Cars,Policy2021
30-06-2030,198991.7351,2030Q2,BEV Cars,Policy2021
30-09-2030,165265.2664,2030Q3,BEV Cars,Policy2021
31-12-2030,190351.3816,2030Q4,BEV Cars,Policy2021
31-03-2031,196131.8573,2031Q1,BEV Cars,Policy2021
30-06-2031,220244.0619,2031Q2,BEV Cars,Policy2021
30-09-2031,167988.6773,2031Q3,BEV Cars,Policy2021
31-12-2031,202593.6317,2031Q4,BEV Cars,Policy2021
31-03-2032,214269.2741,2032Q1,BEV Cars,Policy2021
30-06-2032,221650.4154,2032Q2,BEV Cars,Policy2021
30-09-2032,215027.4893,2032Q3,BEV Cars,Policy2021
31-12-2032,225058.1645,2032Q4,BEV Cars,Policy2021
31-03-2033,229182.3514,2033Q1,BEV Cars,Policy2021
30-06-2033,240053.1868,2033Q2,BEV Cars,Policy2021
30-09-2033,221546.3041,2033Q3,BEV Cars,Policy2021
31-12-2033,238431.2702,2033Q4,BEV Cars,Policy2021
31-03-2034,243436.1171,2034Q1,BEV Cars,Policy2021
30-06-2034,259881.0395,2034Q2,BEV Cars,Policy2021
30-09-2034,226154.5708,2034Q3,BEV Cars,Policy2021
31-12-2034,251240.686,2034Q4,BEV Cars,Policy2021
31-03-2035,257021.1618,2035Q1,BEV Cars,Policy2021
30-06-2035,281133.3663,2035Q2,BEV Cars,Policy2021
30-09-2035,228877.9817,2035Q3,BEV Cars,Policy2021
31-12-2035,263482.9361,2035Q4,BEV Cars,Policy2021
31-03-2036,275158.5785,2036Q1,BEV Cars,Policy2021
30-06-2036,282539.7198,2036Q2,BEV Cars,Policy2021
30-09-2036,275916.7937,2036Q3,BEV Cars,Policy2021
31-12-2036,285947.4689,2036Q4,BEV Cars,Policy2021
31-03-2037,290071.6558,2037Q1,BEV Cars,Policy2021
30-06-2037,300942.4912,2037Q2,BEV Cars,Policy2021
30-09-2037,282435.6085,2037Q3,BEV Cars,Policy2021
31-12-2037,299320.5746,2037Q4,BEV Cars,Policy2021
31-03-2038,304325.4215,2038Q1,BEV Cars,Policy2021
30-06-2038,320770.3439,2038Q2,BEV Cars,Policy2021
30-09-2038,287043.8752,2038Q3,BEV Cars,Policy2021
31-12-2038,312129.9904,2038Q4,BEV Cars,Policy2021
31-03-2039,317910.4662,2039Q1,BEV Cars,Policy2021
30-06-2039,342022.6708,2039Q2,BEV Cars,Policy2021
30-09-2039,289767.2862,2039Q3,BEV Cars,Policy2021
31-12-2039,324372.2405,2039Q4,BEV Cars,Policy2021
31-03-2040,336047.8829,2040Q1,BEV Cars,Policy2021
30-06-2040,343429.0242,2040Q2,BEV Cars,Policy2021
30-09-2040,336806.0981,2040Q3,BEV Cars,Policy2021
31-12-2040,346836.7733,2040Q4,BEV Cars,Policy2021
31-03-2041,350960.9602,2041Q1,BEV Cars,Policy2021
30-06-2041,361831.7956,2041Q2,BEV Cars,Policy2021
30-09-2041,343324.9129,2041Q3,BEV Cars,Policy2021
