ds,Value,Quarter,Metric,Scenario
2024-12-31,103329.04250581923,2024Q4,BEV Cars,Policy2024_2025
2025-03-31,109525.74442832143,2025Q1,BEV Cars,Policy2024_2025
2025-06-30,117852.76028280433,2025Q2,BEV Cars,Policy2024_2025
2025-09-30,101721.60278249889,2025Q3,BEV Cars,Policy2024_2025
2025-12-31,118197.12949585325,2025Q4,BEV Cars,Policy2024_2025
2026-03-31,126276.82995307367,2026Q1,BEV Cars,Policy2024_2025
2026-06-30,138157.58372054138,2026Q2,BEV Cars,Policy2024_2025
2026-09-30,108498.79740864546,2026Q3,BEV Cars,Policy2024_2025
2026-12-31,132413.82110603416,2026Q4,BEV Cars,Policy2024_2025
2027-03-31,142489.15518050283,2027Q1,BEV Cars,Policy2024_2025
2027-06-30,159547.27049513216,2027Q2,BEV Cars,Policy2024_2025
2027-09-30,113491.1682925262,2027Q3,BEV Cars,Policy2024_2025
2027-12-31,145975.65288097115,2027Q4,BEV Cars,Policy2024_2025
2028-03-31,159917.03008695543,2028Q1,BEV Cars,Policy2024_2025
2028-06-30,166303.01878646878,2028Q2,BEV Cars,Policy2024_2025
2028-09-30,160808.3324830395,2028Q3,BEV Cars,Policy2024_2025
2028-12-31,171001.07783660805,2028Q4,BEV Cars,Policy2024_2025
2029-03-31,177197.77975907718,2029Q1,BEV Cars,Policy2024_2025
2029-06-30,185524.79561368556,2029Q2,BEV Cars,Policy2024_2025
2029-09-30,169393.63811385442,2029Q3,BEV Cars,Policy2024_2025
2029-12-31,185869.16482713047,2029Q4,BEV Cars,Policy2024_2025
2030-03-31,193948.8652846546,2030Q1,BEV Cars,Policy2024_2025
2030-06-30,205829.61905208888,2030Q2,BEV Cars,Policy2024_2025
2030-09-30,176170.83273998147,2030Q3,BEV Cars,Policy2024_2025
2030-12-31,200085.856437472,2030Q4,BEV Cars,Policy2024_2025
2031-03-31,210161.1905120957,2031Q1,BEV Cars,Policy2024_2025
2031-06-30,227219.3058265042,2031Q2,BEV Cars,Policy2024_2025
2031-09-30,181163.20362399175,2031Q3,BEV Cars,Policy2024_2025
2031-12-31,213647.68821249512,2031Q4,BEV Cars,Policy2024_2025
2032-03-31,227589.06541857956,2032Q1,BEV Cars,Policy2024_2025
2032-06-30,233975.05411791475,2032Q2,BEV Cars,Policy2024_2025
2032-09-30,228480.36781427707,2032Q3,BEV Cars,Policy2024_2025
2032-12-31,238673.11316797978,2032Q4,BEV Cars,Policy2024_2025
2033-03-31,244869.81509049132,2033Q1,BEV Cars,Policy2024_2025
2033-06-30,253196.83094495532,2033Q2,BEV Cars,Policy2024_2025
2033-09-30,237065.6734451238,2033Q3,BEV Cars,Policy2024_2025
2033-12-31,253541.2001587081,2033Q4,BEV Cars,Policy2024_2025
2034-03-31,261620.90061625396,2034Q1,BEV Cars,Policy2024_2025
2034-06-30,273501.65438355965,2034Q2,BEV Cars,Policy2024_2025
2034-09-30,243842.86807149637,2034Q3,BEV Cars,Policy2024_2025
2034-12-31,267757.8917689421,2034Q4,BEV Cars,Policy2024_2025
2035-03-31,277833.2258437034,2035Q1,BEV Cars,Policy2024_2025
2035-06-30,294891.3411578316,2035Q2,BEV Cars,Policy2024_2025
2035-09-30,248835.23895518226,2035Q3,BEV Cars,Policy2024_2025
2035-12-31,281319.7235440367,2035Q4,BEV Cars,Policy2024_2025
2036-03-31,295261.1007497329,2036Q1,BEV Cars,Policy2024_2025
2036-06-30,301647.08944916027,2036Q2,BEV Cars,Policy2024_2025
2036-09-30,296152.4031460815,2036Q3,BEV Cars,Policy2024_2025
2036-12-31,306345.1484993155,2036Q4,BEV Cars,Policy2024_2025
2037-03-31,312541.8504216666,2037Q1,BEV Cars,Policy2024_2025
2037-06-30,320868.86627671315,2037Q2,BEV Cars,Policy2024_2025
2037-09-30,304737.7087769358,2037Q3,BEV Cars,Policy2024_2025
2037-12-31,321213.2354899309,2037Q4,BEV Cars,Policy2024_2025
2038-03-31,329292.93594719516,2038Q1,BEV Cars,Policy2024_2025
2038-06-30,341173.6897152546,2038Q2,BEV Cars,Policy2024_2025
2038-09-30,311514.90340313973,2038Q3,BEV Cars,Policy2024_2025
2038-12-31,335429.9271001669,2038Q4,BEV Cars,Policy2024_2025
2039-03-31,345505.2611751036,2039Q1,BEV Cars,Policy2024_2025
2039-06-30,362563.3764893548,2039Q2,BEV Cars,Policy2024_2025
2039-09-30,316507.27428680734,2039Q3,BEV Cars,Policy2024_2025
2039-12-31,348991.7588753504,2039Q4,BEV Cars,Policy2024_2025
2040-03-31,362933.13608124375,2040Q1,BEV Cars,Policy2024_2025
2040-06-30,369319.12478070817,2040Q2,BEV Cars,Policy2024_2025
2040-09-30,363824.4384773277,2040Q3,BEV Cars,Policy2024_2025
2040-12-31,374017.18383098976,2040Q4,BEV Cars,Policy2024_2025
2041-03-31,380213.8857534398,2041Q1,BEV Cars,Policy2024_2025
2041-06-30,388540.901607919,2041Q2,BEV Cars,Policy2024_2025
2041-09-30,372409.74410825176,2041Q3,BEV Cars,Policy2024_2025
