Quarter,Value,Metric,Scenario
2025Q1,6521.275205957905,BEV Van Sales,Baseline
2025Q2,6966.784512722575,BEV Van Sales,Baseline
2025Q3,6427.5761041836395,BEV Van Sales,Baseline
2025Q4,6657.803439480225,BEV Van Sales,Baseline
2026Q1,7478.253527704433,BEV Van Sales,Baseline
2026Q2,7972.417798884892,BEV Van Sales,Baseline
2026Q3,6968.094828217777,BEV Van Sales,Baseline
2026Q4,7384.888215251873,BEV Van Sales,Baseline
2027Q1,8422.907004286224,BEV Van Sales,Baseline
2027Q2,8996.803387581122,BEV Van Sales,Baseline
2027Q3,7495.738483100626,BEV Van Sales,Baseline
2027Q4,8106.407639620652,BEV Van Sales,Baseline
2028Q1,8214.684042910125,BEV Van Sales,Baseline
2028Q2,8642.597427996836,BEV Van Sales,Baseline
2028Q3,8536.181459625976,BEV Van Sales,Baseline
2028Q4,8587.526659050665,BEV Van Sales,Baseline
2029Q1,9183.58032944872,BEV Van Sales,Baseline
2029Q2,9629.08963621398,BEV Van Sales,Baseline
2029Q3,9089.881227670465,BEV Van Sales,Baseline
2029Q4,9320.108562967518,BEV Van Sales,Baseline
2030Q1,10140.55865119239,BEV Van Sales,Baseline
2030Q2,10634.72292237448,BEV Van Sales,Baseline
2030Q3,9630.399951704396,BEV Van Sales,Baseline
2030Q4,10047.193338739231,BEV Van Sales,Baseline
2031Q1,11085.212127778665,BEV Van Sales,Baseline
2031Q2,11659.108511068745,BEV Van Sales,Baseline
2031Q3,10158.043606588668,BEV Van Sales,Baseline
2031Q4,10768.712763108702,BEV Van Sales,Baseline
2032Q1,10876.98916640335,BEV Van Sales,Baseline
2032Q2,11304.90255148914,BEV Van Sales,Baseline
2032Q3,11198.486583110353,BEV Van Sales,Baseline
2032Q4,11249.831782538575,BEV Van Sales,Baseline
2033Q1,11845.885452934446,BEV Van Sales,Baseline
2033Q2,12291.394759699331,BEV Van Sales,Baseline
2033Q3,11752.186351153941,BEV Van Sales,Baseline
2033Q4,11982.413686455502,BEV Van Sales,Baseline
2034Q1,12802.863774681891,BEV Van Sales,Baseline
2034Q2,13297.028045860865,BEV Van Sales,Baseline
2034Q3,12292.705075192587,BEV Van Sales,Baseline
2034Q4,12709.498462228677,BEV Van Sales,Baseline
2035Q1,13747.51725126819,BEV Van Sales,Baseline
2035Q2,14321.413634560942,BEV Van Sales,Baseline
2035Q3,12820.348730072159,BEV Van Sales,Baseline
2035Q4,13431.017886596537,BEV Van Sales,Baseline
2036Q1,13539.294289885669,BEV Van Sales,Baseline
2036Q2,13967.207674975682,BEV Van Sales,Baseline
2036Q3,13860.791706603148,BEV Van Sales,Baseline
2036Q4,13912.136906025804,BEV Van Sales,Baseline
2037Q1,14508.19057641686,BEV Van Sales,Baseline
2037Q2,14953.699883186417,BEV Van Sales,Baseline
2037Q3,14414.49147464673,BEV Van Sales,Baseline
2037Q4,14644.718809942122,BEV Van Sales,Baseline
2038Q1,15465.168898167729,BEV Van Sales,Baseline
2038Q2,15959.333169353255,BEV Van Sales,Baseline
2038Q3,14955.010198684151,BEV Van Sales,Baseline
2038Q4,15371.803585715345,BEV Van Sales,Baseline
2039Q1,16409.82237475301,BEV Van Sales,Baseline
2039Q2,16983.718758045383,BEV Van Sales,Baseline
2039Q3,15482.653853565436,BEV Van Sales,Baseline
2039Q4,16093.323010083544,BEV Van Sales,Baseline
2040Q1,16201.599413374695,BEV Van Sales,Baseline
2040Q2,16629.512798461248,BEV Van Sales,Baseline
2040Q3,16523.09683009075,BEV Van Sales,Baseline
2040Q4,16574.442029513677,BEV Van Sales,Baseline
2041Q1,17170.495699911928,BEV Van Sales,Baseline
2041Q2,17616.005006678348,BEV Van Sales,Baseline
2041Q3,17076.79659813344,BEV Van Sales,Baseline
