Quarter,Value,Metric,Scenario
2025Q1,104702.3534,BEV Car Sales,Baseline
2025Q2,105558.8226,BEV Car Sales,Baseline
2025Q3,115363.9162,BEV Car Sales,Baseline
2025Q4,124537.8789,BEV Car Sales,Baseline
2026Q1,123212.0618,BEV Car Sales,Baseline
2026Q2,124151.7111,BEV Car Sales,Baseline
2026Q3,131165.5857,BEV Car Sales,Baseline
2026Q4,138447.6449,BEV Car Sales,Baseline
2027Q1,142106.7595,BEV Car Sales,Baseline
2027Q2,141957.5233,BEV Car Sales,Baseline
2027Q3,148173.1213,BEV Car Sales,Baseline
2027Q4,150149.7034,BEV Car Sales,Baseline
2028Q1,152990.8066,BEV Car Sales,Baseline
2028Q2,152580.3059,BEV Car Sales,Baseline
2028Q3,167159.1428,BEV Car Sales,Baseline
2028Q4,174813.4317,BEV Car Sales,Baseline
2029Q1,171101.4354,BEV Car Sales,Baseline
2029Q2,171957.9047,BEV Car Sales,Baseline
2029Q3,181762.9983,BEV Car Sales,Baseline
2029Q4,190936.961,BEV Car Sales,Baseline
2030Q1,189611.1438,BEV Car Sales,Baseline
2030Q2,190550.7931,BEV Car Sales,Baseline
2030Q3,197564.6678,BEV Car Sales,Baseline
2030Q4,204846.7269,BEV Car Sales,Baseline
2031Q1,208505.8415,BEV Car Sales,Baseline
2031Q2,208356.6053,BEV Car Sales,Baseline
2031Q3,214572.2033,BEV Car Sales,Baseline
2031Q4,216548.7855,BEV Car Sales,Baseline
2032Q1,219389.8887,BEV Car Sales,Baseline
2032Q2,218979.388,BEV Car Sales,Baseline
2032Q3,233558.2249,BEV Car Sales,Baseline
2032Q4,241212.5137,BEV Car Sales,Baseline
2033Q1,237500.5175,BEV Car Sales,Baseline
2033Q2,238356.9867,BEV Car Sales,Baseline
2033Q3,248162.0803,BEV Car Sales,Baseline
2033Q4,257336.043,BEV Car Sales,Baseline
2034Q1,256010.2258,BEV Car Sales,Baseline
2034Q2,256949.8752,BEV Car Sales,Baseline
2034Q3,263963.7498,BEV Car Sales,Baseline
2034Q4,271245.8089,BEV Car Sales,Baseline
2035Q1,274904.9236,BEV Car Sales,Baseline
2035Q2,274755.6873,BEV Car Sales,Baseline
2035Q3,280971.2854,BEV Car Sales,Baseline
2035Q4,282947.8675,BEV Car Sales,Baseline
2036Q1,285788.9707,BEV Car Sales,Baseline
2036Q2,285378.47,BEV Car Sales,Baseline
2036Q3,299957.3069,BEV Car Sales,Baseline
2036Q4,307611.5958,BEV Car Sales,Baseline
2037Q1,303899.5995,BEV Car Sales,Baseline
2037Q2,304756.0688,BEV Car Sales,Baseline
2037Q3,314561.1624,BEV Car Sales,Baseline
2037Q4,323735.1251,BEV Car Sales,Baseline
2038Q1,322409.3079,BEV Car Sales,Baseline
2038Q2,323348.9572,BEV Car Sales,Baseline
2038Q3,330362.8319,BEV Car Sales,Baseline
2038Q4,337644.891,BEV Car Sales,Baseline
2039Q1,341304.0056,BEV Car Sales,Baseline
2039Q2,341154.7694,BEV Car Sales,Baseline
2039Q3,347370.3674,BEV Car Sales,Baseline
2039Q4,349346.9496,BEV Car Sales,Baseline
2040Q1,352188.0528,BEV Car Sales,Baseline
2040Q2,351777.5521,BEV Car Sales,Baseline
2040Q3,366356.389,BEV Car Sales,Baseline
2040Q4,374010.6778,BEV Car Sales,Baseline
2041Q1,370298.6816,BEV Car Sales,Baseline
2041Q2,371155.1508,BEV Car Sales,Baseline
2041Q3,380960.2444,BEV Car Sales,Baseline
2041Q4,390134.2071,BEV Car Sales,Baseline
