Quarter,chargers_forecasted,Metric
2022Q1,29582.54951,Chargers - Baseline Forecast
2022Q2,31856.08323,Chargers - Baseline Forecast
2022Q3,33693.57699,Chargers - Baseline Forecast
2022Q4,36415.24068,Chargers - Baseline Forecast
2023Q1,38736.51343,Chargers - Baseline Forecast
2023Q2,43253.08517,Chargers - Baseline Forecast
2023Q3,48187.56841,Chargers - Baseline Forecast
2023Q4,52601.27318,Chargers - Baseline Forecast
2024Q1,56982.48183,Chargers - Baseline Forecast
2024Q2,62419.11631,Chargers - Baseline Forecast
2024Q3,67980.63752,Chargers - Baseline Forecast
2024Q4,72270.22327,Chargers - Baseline Forecast
2025Q1,75304.62984,Chargers - Baseline Forecast
2025Q2,80553.13137,Chargers - Baseline Forecast
2025Q3,82002.64012,Chargers - Baseline Forecast
2025Q3,83095.45719,Chargers - Baseline Forecast
2025Q4,87701.69928,Chargers - Baseline Forecast
2026Q1,85171.68268,Chargers - Baseline Forecast
2026Q2,95649.82524,Chargers - Baseline Forecast
2026Q3,90200.48324,Chargers - Baseline Forecast
2026Q4,96760.51307,Chargers - Baseline Forecast
2027Q1,92003.07858,Chargers - Baseline Forecast
2027Q2,106462.8284,Chargers - Baseline Forecast
2027Q3,96449.95201,Chargers - Baseline Forecast
2027Q4,105402.875,Chargers - Baseline Forecast
2028Q1,108343.1633,Chargers - Baseline Forecast
2028Q2,113056.2414,Chargers - Baseline Forecast
2028Q3,113758.8456,Chargers - Baseline Forecast
2028Q4,116898.3153,Chargers - Baseline Forecast
2029Q1,116390.905,Chargers - Baseline Forecast
2029Q2,123621.8302,Chargers - Baseline Forecast
2029Q3,121753.6271,Chargers - Baseline Forecast
2029Q4,126359.8692,Chargers - Baseline Forecast
2030Q1,123829.8526,Chargers - Baseline Forecast
2030Q2,134307.9951,Chargers - Baseline Forecast
2030Q3,128858.6531,Chargers - Baseline Forecast
2030Q4,135418.683,Chargers - Baseline Forecast
2031Q1,130661.2485,Chargers - Baseline Forecast
2031Q2,145120.9983,Chargers - Baseline Forecast
2031Q3,135108.1219,Chargers - Baseline Forecast
2031Q4,144061.0449,Chargers - Baseline Forecast
2032Q1,147001.3332,Chargers - Baseline Forecast
2032Q2,151714.4113,Chargers - Baseline Forecast
2032Q3,152417.0155,Chargers - Baseline Forecast
2032Q4,155556.4852,Chargers - Baseline Forecast
2033Q1,155049.0749,Chargers - Baseline Forecast
2033Q2,162280,Chargers - Baseline Forecast
2033Q3,160411.797,Chargers - Baseline Forecast
2033Q4,165018.0391,Chargers - Baseline Forecast
2034Q1,162488.0224,Chargers - Baseline Forecast
2034Q2,172966.165,Chargers - Baseline Forecast
2034Q3,167516.823,Chargers - Baseline Forecast
2034Q4,174076.8528,Chargers - Baseline Forecast
2035Q1,169319.4184,Chargers - Baseline Forecast
2035Q2,183779.1682,Chargers - Baseline Forecast
2035Q3,173766.2918,Chargers - Baseline Forecast
2035Q4,182719.2148,Chargers - Baseline Forecast
2036Q1,185659.5031,Chargers - Baseline Forecast
2036Q2,190372.5811,Chargers - Baseline Forecast
2036Q3,191075.1854,Chargers - Baseline Forecast
2036Q4,194214.6551,Chargers - Baseline Forecast
2037Q1,193707.2448,Chargers - Baseline Forecast
2037Q2,200938.1699,Chargers - Baseline Forecast
2037Q3,199069.9669,Chargers - Baseline Forecast
2037Q4,203676.2089,Chargers - Baseline Forecast
2038Q1,201146.1923,Chargers - Baseline Forecast
2038Q2,211624.3349,Chargers - Baseline Forecast
2038Q3,206174.9929,Chargers - Baseline Forecast
2038Q4,212735.0227,Chargers - Baseline Forecast
2039Q1,207977.5882,Chargers - Baseline Forecast
2039Q2,222437.3381,Chargers - Baseline Forecast
2039Q3,212424.4617,Chargers - Baseline Forecast
2039Q4,221377.3847,Chargers - Baseline Forecast
2040Q1,224317.6729,Chargers - Baseline Forecast
2040Q2,229030.751,Chargers - Baseline Forecast
2040Q3,229733.3553,Chargers - Baseline Forecast
2040Q4,232872.825,Chargers - Baseline Forecast
2041Q1,232365.4147,Chargers - Baseline Forecast
2041Q2,239596.3398,Chargers - Baseline Forecast
