Quarter,Value,Metric
2022Q1,29583.68869,Chargers - Policy-Driven Forecast
2022Q2,31853.31885,Chargers - Policy-Driven Forecast
2022Q3,33693.97208,Chargers - Policy-Driven Forecast
2022Q4,36415.25254,Chargers - Policy-Driven Forecast
2023Q1,38737.67558,Chargers - Policy-Driven Forecast
2023Q2,43250.33416,Chargers - Policy-Driven Forecast
2023Q3,48187.94741,Chargers - Policy-Driven Forecast
2023Q4,52601.26077,Chargers - Policy-Driven Forecast
2024Q1,56983.6608,Chargers - Policy-Driven Forecast
2024Q2,62416.2558,Chargers - Policy-Driven Forecast
2024Q3,67980.97488,Chargers - Policy-Driven Forecast
2024Q4,72270.20508,Chargers - Policy-Driven Forecast
2024Q4,78032.16201,Chargers - Policy-Driven Forecast
2025Q1,73127.07698,Chargers - Policy-Driven Forecast
2025Q2,84450.31064,Chargers - Policy-Driven Forecast
2025Q3,81075.3601,Chargers - Policy-Driven Forecast
2025Q4,103177.6701,Chargers - Policy-Driven Forecast
2026Q1,87750.90182,Chargers - Policy-Driven Forecast
2026Q2,104111.8275,Chargers - Policy-Driven Forecast
2026Q3,94659.10236,Chargers - Policy-Driven Forecast
2026Q4,131445.9765,Chargers - Policy-Driven Forecast
2027Q1,101671.8892,Chargers - Policy-Driven Forecast
2027Q2,124442.9135,Chargers - Policy-Driven Forecast
2027Q3,107299.1552,Chargers - Policy-Driven Forecast
2027Q4,162849.9034,Chargers - Policy-Driven Forecast
2028Q1,129662.9389,Chargers - Policy-Driven Forecast
2028Q2,137312.3778,Chargers - Policy-Driven Forecast
2028Q3,138449.2288,Chargers - Policy-Driven Forecast
2028Q4,149895.6716,Chargers - Policy-Driven Forecast
2029Q1,144990.5866,Chargers - Policy-Driven Forecast
2029Q2,156313.8202,Chargers - Policy-Driven Forecast
2029Q3,152938.8697,Chargers - Policy-Driven Forecast
2029Q4,175041.1797,Chargers - Policy-Driven Forecast
2030Q1,159614.4114,Chargers - Policy-Driven Forecast
2030Q2,175975.3371,Chargers - Policy-Driven Forecast
2030Q3,166522.612,Chargers - Policy-Driven Forecast
2030Q4,203309.4861,Chargers - Policy-Driven Forecast
2031Q1,173535.3988,Chargers - Policy-Driven Forecast
2031Q2,196306.4231,Chargers - Policy-Driven Forecast
2031Q3,179162.6648,Chargers - Policy-Driven Forecast
2031Q4,234713.413,Chargers - Policy-Driven Forecast
2032Q1,201526.4485,Chargers - Policy-Driven Forecast
2032Q2,209175.8874,Chargers - Policy-Driven Forecast
2032Q3,210312.7384,Chargers - Policy-Driven Forecast
2032Q4,221759.1812,Chargers - Policy-Driven Forecast
2033Q1,216854.0962,Chargers - Policy-Driven Forecast
2033Q2,228177.3298,Chargers - Policy-Driven Forecast
2033Q3,224802.3793,Chargers - Policy-Driven Forecast
2033Q4,246904.6893,Chargers - Policy-Driven Forecast
2034Q1,231477.921,Chargers - Policy-Driven Forecast
2034Q2,247838.8467,Chargers - Policy-Driven Forecast
2034Q3,238386.1215,Chargers - Policy-Driven Forecast
2034Q4,275172.9957,Chargers - Policy-Driven Forecast
2035Q1,245398.9084,Chargers - Policy-Driven Forecast
2035Q2,268169.9327,Chargers - Policy-Driven Forecast
2035Q3,251026.1744,Chargers - Policy-Driven Forecast
2035Q4,306576.9226,Chargers - Policy-Driven Forecast
2036Q1,273389.9581,Chargers - Policy-Driven Forecast
2036Q2,281039.397,Chargers - Policy-Driven Forecast
2036Q3,282176.2479,Chargers - Policy-Driven Forecast
2036Q4,293622.6908,Chargers - Policy-Driven Forecast
2037Q1,288717.6058,Chargers - Policy-Driven Forecast
2037Q2,300040.8394,Chargers - Policy-Driven Forecast
2037Q3,296665.8889,Chargers - Policy-Driven Forecast
2037Q4,318768.1988,Chargers - Policy-Driven Forecast
2038Q1,303341.4306,Chargers - Policy-Driven Forecast
2038Q2,319702.3563,Chargers - Policy-Driven Forecast
2038Q3,310249.6311,Chargers - Policy-Driven Forecast
2038Q4,347036.5052,Chargers - Policy-Driven Forecast
2039Q1,317262.418,Chargers - Policy-Driven Forecast
2039Q2,340033.4423,Chargers - Policy-Driven Forecast
2039Q3,322889.684,Chargers - Policy-Driven Forecast
2039Q4,378440.4322,Chargers - Policy-Driven Forecast
2040Q1,345253.4677,Chargers - Policy-Driven Forecast
2040Q2,352902.9066,Chargers - Policy-Driven Forecast
2040Q3,354039.7575,Chargers - Policy-Driven Forecast
2040Q4,365486.2004,Chargers - Policy-Driven Forecast
2041Q1,360581.1154,Chargers - Policy-Driven Forecast
2041Q2,371904.349,Chargers - Policy-Driven Forecast
2041Q3,368529.3985,Chargers - Policy-Driven Forecast
