Quarter,Value,Metric,,Scenario
2024Q4,206083.8507,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2025Q1,239150.5908,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2025Q2,166138.7662,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2025Q3,147432.3338,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2025Q4,174870.9643,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2026Q1,218917.2274,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2026Q2,137044.2356,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2026Q3,127294.4786,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2026Q4,147598.4785,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2027Q1,197406.1803,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2027Q2,112812.7535,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2027Q3,109257.3861,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2027Q4,124002.106,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2028Q1,113474.6402,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2028Q2,88689.97678,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2028Q3,74692.49432,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2028Q4,90555.30005,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2029Q1,104861.9857,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2029Q2,72698.93172,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2029Q3,64386.30444,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2029Q4,76226.08248,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2030Q1,95259.22206,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2030Q2,59532.96315,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2030Q3,55208.24272,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2030Q4,63915.83388,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2031Q1,85362.28278,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2031Q2,48715.3631,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2031Q3,47117.73162,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2031Q4,53409.33115,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2032Q1,48817.35356,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2032Q2,38112.09265,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2032Q3,32062.50095,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2032Q4,38832.03324,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2033Q1,44924.32925,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2033Q2,31116.81189,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2033Q3,27534.68069,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2033Q4,32570.8461,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2034Q1,40672.14573,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2034Q2,25399.52149,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2034Q3,23537.64555,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2034Q4,27231.68374,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2035Q1,36346.28048,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2035Q2,20729.97377,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2035Q3,20038.57024,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2035Q4,22701.88908,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2036Q1,20739.40414,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2036Q2,16183.53731,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2036Q3,13608.34719,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2036Q4,16474.26233,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2037Q1,19051.06078,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2037Q2,13190.51123,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2037Q3,11667.62968,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2037Q4,13796.73254,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2038Q1,17222.65632,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2038Q2,10752.0265,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2038Q3,9960.824836,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2038Q4,11520.76209,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2039Q1,15372.70217,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2039Q2,8765.512199,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2039Q3,8471.069532,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2039Q4,9594.715443,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2040Q1,8763.373146,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2040Q2,6836.886233,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2040Q3,5747.830122,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2040Q4,6957.011238,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2041Q1,8043.776962,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2041Q2,5568.391288,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
2041Q3,4924.714589,ICE Sales - Fuel Price + 2030 Ban,,Fuel+Policy
